timestamp,symbol,entry_price,confidence
2025-12-04 07:05:25,ZENUSDT,9.438,0.0
2025-12-04 08:05:26,ADAUSDT,0.452,0.0
2025-12-04 08:05:26,ARUSDT,4.39,0.0
2025-12-04 08:05:27,ATOMUSDT,2.371,0.0
2025-12-04 08:05:27,BANDUSDT,0.432,0.0
2025-12-04 08:05:28,CRVUSDT,0.4252,0.0
2025-12-04 08:05:29,ETCUSDT,14.08,0.0
2025-12-04 08:05:29,GALAUSDT,0.00779,0.0
2025-12-04 08:05:30,HIGHUSDT,0.26,0.0
2025-12-04 08:05:30,INJUSDT,6.01,0.0
2025-12-04 08:05:31,LDOUSDT,0.6487,0.0
2025-12-04 08:05:31,LINKUSDT,14.56,0.0
2025-12-04 08:05:32,LSKUSDT,0.228,0.0
2025-12-04 08:05:33,MBLUSDT,0.001419,0.001
2025-12-04 08:05:33,OPUSDT,0.3279,0.0
2025-12-04 08:05:34,PAXGUSDT,4199.85,0.043
2025-12-04 08:05:34,SANTOSUSDT,1.914,0.02
2025-12-04 08:05:35,SOLUSDT,143.91,0.0
2025-12-04 08:05:35,TRXUSDT,0.2801,0.0
2025-12-04 08:05:36,ZENUSDT,9.364,0.0
2025-12-04 09:05:37,ADAUSDT,0.4488,0.0
2025-12-04 09:05:37,ARUSDT,4.4,0.0
2025-12-04 09:05:38,ATOMUSDT,2.364,0.0
2025-12-04 09:05:38,BANDUSDT,0.433,0.0
2025-12-04 09:05:39,CRVUSDT,0.4191,0.0
2025-12-04 09:05:39,ETCUSDT,14.02,0.0
2025-12-04 09:05:40,GALAUSDT,0.00777,0.0
2025-12-04 09:05:40,HIGHUSDT,0.258,0.0
2025-12-04 09:05:41,INJUSDT,6.03,0.0
2025-12-04 09:05:41,LDOUSDT,0.6451,0.0
2025-12-04 09:05:42,LINKUSDT,14.55,0.0
2025-12-04 09:05:43,LSKUSDT,0.227,0.0
2025-12-04 09:05:43,MBLUSDT,0.001421,0.0
2025-12-04 09:05:44,OPUSDT,0.3274,0.0
2025-12-04 09:05:44,PAXGUSDT,4195.42,0.011
2025-12-04 09:05:45,SANTOSUSDT,1.901,0.08
2025-12-04 09:05:45,SOLUSDT,143.1,0.0
2025-12-04 09:05:46,TRXUSDT,0.2803,0.0
2025-12-04 09:05:47,ZENUSDT,9.418,0.0
2025-12-04 10:05:47,ADAUSDT,0.4489,0.0
2025-12-04 10:05:48,ARUSDT,4.4,0.0
2025-12-04 10:05:48,ATOMUSDT,2.37,0.0
2025-12-04 10:05:49,BANDUSDT,0.431,0.0
2025-12-04 10:05:50,CRVUSDT,0.4199,0.0
2025-12-04 10:05:51,ETCUSDT,14.08,0.0
2025-12-04 10:05:51,GALAUSDT,0.00781,0.0
2025-12-04 10:05:52,HIGHUSDT,0.26,0.001
2025-12-04 10:05:52,INJUSDT,6.09,0.0
2025-12-04 10:05:53,LDOUSDT,0.6479,0.0
2025-12-04 10:05:53,LINKUSDT,14.63,0.0
2025-12-04 10:05:54,LSKUSDT,0.227,0.0
2025-12-04 10:05:54,MBLUSDT,0.001417,0.0
2025-12-04 10:05:55,OPUSDT,0.3288,0.0
2025-12-04 10:05:56,PAXGUSDT,4205.93,0.019
2025-12-04 10:05:56,SANTOSUSDT,1.907,0.018
2025-12-04 10:05:57,SOLUSDT,143.91,0.0
2025-12-04 10:05:57,TRXUSDT,0.2805,0.0
2025-12-04 10:05:58,ZENUSDT,9.321,0.0
2025-12-04 11:04:49,ADAUSDT,0.4456,0.0
2025-12-04 11:04:49,ARUSDT,4.39,0.0
2025-12-04 11:04:50,ATOMUSDT,2.358,0.0
2025-12-04 11:04:50,BANDUSDT,0.426,0.001
2025-12-04 11:04:51,CRVUSDT,0.4137,0.0
2025-12-04 11:04:52,ETCUSDT,14.05,0.0
2025-12-04 11:04:52,GALAUSDT,0.00774,0.0
2025-12-04 11:04:53,HIGHUSDT,0.261,0.002
2025-12-04 11:04:54,INJUSDT,6.02,0.0
2025-12-04 11:04:54,LDOUSDT,0.6422,0.0
2025-12-04 11:04:55,LINKUSDT,14.5,0.0
2025-12-04 11:04:56,LSKUSDT,0.222,0.0
2025-12-04 11:04:56,MBLUSDT,0.001411,0.0
2025-12-04 11:04:57,OPUSDT,0.326,0.0
2025-12-04 11:04:58,PAXGUSDT,4206.45,0.023
2025-12-04 11:04:58,SANTOSUSDT,1.902,0.022
2025-12-04 11:04:59,SOLUSDT,143.17,0.0
